1073.85	1.4061284	1128.7	1198.89	1058.51	-27.25	-22.89	-8.71	19.53	19.7	19.19	14061284
1072.14	1.1860549	1123.1	1192.52	1053.68	-27.87	-23.89	-7.97	20.79	20.06	22.25	11860549
1058.87	1.1318005	1117.42	1188.39	1046.44	-29.11	-24.93	-8.35	15.78	18.64	10.06	11318005
1051.95	1.2846774	1111.55	1183.87	1039.23	-30.29	-26	-8.57	11.59	16.29	2.2	12846774
1060.16	1.1297208	1106.66	1179	1034.33	-30.22	-26.85	-6.75	16.31	16.29	16.34	11297208
1060.74	1.1403835	1101.43	1170.98	1031.89	-29.77	-27.43	-4.68	19.78	17.46	24.43	11403835
1039.19	1.2365833	1095.96	1167.05	1024.86	-30.8	-28.11	-5.39	14.78	16.56	11.21	12365833
1016.06	1.6123371	1088.3	1159.18	1017.42	-33.11	-29.11	-8	12.67	15.27	7.47	16123371
1013.64	1.355099	1081.03	1151.16	1010.9	-34.72	-30.23	-8.99	13.8	14.78	11.85	13550990
1034.38	1.5985146	1076.2	1145.17	1007.24	-33.94	-30.97	-5.94	23.55	17.7	35.26	15985146
1030.94	2.0631148	1070.97	1136.78	1005.17	-33.22	-31.42	-3.59	29.47	21.62	45.15	20631148
1115.58	5.33386	1070.54	1134.96	1006.11	-25.52	-30.24	9.44	52.12	31.79	92.78	53338600
1131.05	5.096364	1071.89	1140.29	1003.49	-17.96	-27.79	19.65	64.62	42.73	108.4	50963640
1108.29	3.4298972	1071.92	1140.4	1003.45	-13.65	-24.96	22.61	67.84	51.1	101.31	34298972
1106.29	2.3995556	1072.47	1141.88	1003.05	-10.28	-22.02	23.49	69.53	57.24	94.11	23995556
1093.46	2.163711	1072.16	1141.12	1003.19	-8.54	-19.33	21.57	67.78	60.75	81.82	21637110
1072.84	1.8191268	1070.65	1138.08	1003.22	-8.73	-17.21	16.95	61.97	61.16	63.58	18191268
1086.01	1.6537317	1069.78	1135.86	1003.7	-7.73	-15.31	15.17	61.06	61.12	60.92	16537317
1085.61	2.0425842	1069.09	1134.16	1004.02	-6.89	-13.63	13.48	56.69	59.65	50.79	20425842
1115.62	2.847266	1071.33	1139.66	1003.01	-3.75	-11.65	15.8	61.47	60.25	63.89	28472660
1101.49	1.9144774	1072.72	1142.36	1003.07	-2.38	-9.8	14.83	56.13	58.88	50.64	19144774
1102.03	1.5100993	1074.21	1145.07	1003.35	-1.24	-8.09	13.69	56.46	58.08	53.24	15100993
1093.7	1.4911267	1075.95	1146.94	1004.96	-1	-6.67	11.35	55.41	57.19	51.87	14911267
1101.88	1.3158105	1078.45	1149.39	1007.5	-0.14	-5.36	10.45	59.61	58	62.85	13158105
1124.64	2.7422458	1081.67	1154.94	1008.4	2.35	-3.82	12.34	70.39	62.13	86.91	27422458
1108.59	1.6718826	1084.06	1157.58	1010.55	2.99	-2.46	10.9	69.45	64.57	79.22	16718826
1104.99	1.6478113	1087.35	1158.26	1016.45	3.17	-1.33	9.01	64.92	64.69	65.38	16478113
1080.94	1.7020136	1090.6	1153.22	1027.98	1.36	-0.79	4.31	47.72	59.03	25.09	17020136
1055.59	1.694132	1092.7	1146.68	1038.71	-2.1	-1.05	-2.09	32.67	50.24	-2.48	16941320
1047.28	1.4592935	1093.34	1144.63	1042.05	-5.45	-1.93	-7.02	27.49	42.66	-2.84	14592935
1039.04	1.1755998	1093.75	1143.05	1044.44	-8.66	-3.28	-10.77	21.29	35.53	-7.21	11755998
